id	lugar	centros_privado_concertados	plazas_total	plazas_concertadas	porc_concertadas	abrev
1	Andalucía	264	20961	12618	60.197509660798602	AN
2	Aragón	79	6143	2374	38.645612892723399	AR
3	Asturias (Principado de)	40	4276	1660	38.821328344247	AS
4	Balears (Illes)	15	1727	1003	58.0775911986103	IB
5	Canarias	12	962	529	54.989604989604999	CN
6	Cantabria	45	4992	3590	71.915064102564102	CB
8	Castilla y León	108	11211	2619	23.3609847471234	CM
7	Castilla-La Mancha	136	12129	4698	38.733613653227799	CL
9	Cataluña	513	34971	19468	55.668982871522097	CT
18	Ceuta	1	42	42	100	CE
10	Comunitat Valenciana	141	13064	6647	50.880281690140798	VC
11	Extremadura	26	2818	1257	44.606103619588403	EX
12	Galicia	67	7890	3127	39.632446134347298	GA
13	Madrid (Comunidad de)	139	21871	10827	49.503909286269497	MD
0	Media nacional	1806	160330	81820	51.032245992640199	NAC
19	Melilla	1	111	100	90.090090090090101	ME
14	Murcia (Región de)	37	3649	2441	66.8950397369142	MC
15	Navarra (Comunidad Foral de)	28	2653	1471	55.446664153788198	NC
16	País Vasco	144	9635	6728	69.828749351323296	PV
17	Rioja (La)	10	1225	621	50.6938775510204	RI
